datetime;total_votes;pazoozoo;Dirtylieutenant;Есения;Mindsplitter;ckkpss;kobzun-kun;KOCTOPE3;Tomintoul;EMAILWARENFABRIK;brammator
2021-01-27 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2021-01-27 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2021-01-27 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2021-01-27 00:03:59;2;0;0;0;0;0;0;0;0;0;0
2021-01-27 00:04:58;3;1;0;0;0;0;0;0;0;0;0
2021-01-27 00:05:59;5;2;0;0;0;0;0;0;0;0;0
2021-01-27 00:06:59;7;3;0;0;1;0;0;0;0;0;0
2021-01-27 00:07:58;7;2;0;0;1;0;0;0;1;0;0
2021-01-27 00:08:59;9;2;1;0;1;0;0;0;2;0;0
2021-01-27 00:09:59;9;2;1;0;1;0;0;0;2;0;0
2021-01-27 00:10:58;13;2;4;0;1;0;0;0;2;0;0
2021-01-27 00:11:59;14;2;5;0;1;0;0;0;2;0;0
2021-01-27 00:12:59;17;3;6;0;2;0;0;0;2;0;0
2021-01-27 00:13:58;18;3;6;0;2;0;0;0;2;0;0
2021-01-27 00:14:59;19;3;6;0;2;0;0;0;2;0;0
2021-01-27 00:15:59;19;3;6;0;2;0;0;0;2;0;0
2021-01-27 00:16:58;19;3;6;0;2;0;0;0;2;0;0
2021-01-27 00:17:59;21;3;7;1;2;0;0;0;2;0;0
2021-01-27 00:18:58;21;3;7;1;2;0;0;0;2;0;0
2021-01-27 00:19:59;21;3;7;1;2;0;0;0;2;0;0
2021-01-27 00:20:58;21;3;7;1;2;0;0;0;2;0;0
2021-01-27 00:21:59;22;3;8;1;2;0;0;0;2;0;0
2021-01-27 00:22:59;22;3;8;1;2;0;0;0;2;0;0
2021-01-27 00:23:58;23;3;8;1;2;0;0;0;2;0;0
2021-01-27 00:24:59;23;3;8;1;2;0;0;0;2;0;0
2021-01-27 00:25:59;23;3;8;1;2;0;0;0;2;0;0
2021-01-27 00:26:58;25;4;9;1;2;0;0;0;2;0;0
2021-01-27 00:27:59;25;4;9;1;2;0;0;0;2;0;0
2021-01-27 00:28:59;25;4;9;1;2;0;0;0;2;0;0
2021-01-27 00:29:58;25;4;9;1;2;0;0;0;2;0;0
2021-01-27 00:30:59;26;4;9;1;3;0;0;0;2;0;0
2021-01-27 00:31:59;26;4;9;1;3;0;0;0;2;0;0
2021-01-27 00:32:58;26;4;9;1;3;0;0;0;2;0;0
2021-01-27 00:33:59;26;4;9;1;3;0;0;0;2;0;0
2021-01-27 00:34:59;26;4;9;1;3;0;0;0;2;0;0
2021-01-27 00:35:58;27;4;10;1;3;0;0;0;2;0;0
2021-01-27 00:36:59;27;4;10;1;3;0;0;0;2;0;0
2021-01-27 00:37:58;27;4;10;1;3;0;0;0;2;0;0
2021-01-27 00:38:59;27;4;10;1;3;0;0;0;2;0;0
2021-01-27 00:39:59;27;4;10;1;3;0;0;0;2;0;0
2021-01-27 00:40:58;27;4;10;1;3;0;0;0;2;0;0
2021-01-27 00:41:59;27;4;10;1;3;0;0;0;2;0;0
2021-01-27 00:42:59;27;4;10;1;3;0;0;0;2;0;0
2021-01-27 00:43:58;29;5;10;2;3;0;0;0;2;0;0
2021-01-27 00:44:59;29;5;10;2;3;0;0;0;2;0;0
2021-01-27 00:45:58;29;5;10;2;3;0;0;0;2;0;0
2021-01-27 00:46:59;30;5;11;2;3;0;0;0;2;0;0
2021-01-27 00:47:58;30;5;11;2;3;0;0;0;2;0;0
2021-01-27 00:48:59;30;5;11;2;3;0;0;0;2;0;0
2021-01-27 00:49:59;30;5;11;2;3;0;0;0;2;0;0
2021-01-27 00:50:58;30;5;11;2;3;0;0;0;2;0;0
2021-01-27 00:51:59;30;5;11;2;3;0;0;0;2;0;0
2021-01-27 00:52:59;30;5;11;2;3;0;0;0;2;0;0
2021-01-27 00:53:58;31;5;11;2;3;0;0;0;2;0;0
2021-01-27 00:54:59;31;5;11;2;3;0;0;0;2;0;0
2021-01-27 00:55:59;32;5;11;2;4;0;0;0;2;0;0
2021-01-27 00:56:58;33;5;12;2;4;0;0;0;2;0;0
2021-01-27 00:57:59;35;5;13;2;4;0;0;0;2;0;0
2021-01-27 00:58:59;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 00:59:58;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:00:59;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:01:59;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:02:58;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:03:59;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:04:58;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:05:59;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:06:59;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:07:58;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:08:59;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:09:59;36;5;14;2;4;0;0;0;2;0;0
2021-01-27 01:10:58;37;5;14;3;4;0;0;0;2;0;0
2021-01-27 01:11:59;37;5;14;3;4;0;0;0;2;0;0
2021-01-27 01:12:59;37;5;14;3;4;0;0;0;2;0;0
2021-01-27 01:13:58;37;5;14;3;4;0;0;0;2;0;0
2021-01-27 01:14:59;37;5;14;3;4;0;0;0;2;0;0
2021-01-27 01:15:59;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:16:58;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:17:59;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:18:58;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:19:59;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:20:59;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:21:58;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:22:59;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:23:58;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:24:59;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:25:58;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:26:59;38;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:27:59;39;6;14;3;4;0;0;0;2;0;0
2021-01-27 01:28:58;42;7;16;3;4;0;0;0;2;0;0
2021-01-27 01:29:59;43;8;16;3;4;0;0;0;2;0;0
2021-01-27 01:30:59;44;8;16;3;5;0;0;0;2;0;0
2021-01-27 01:31:58;44;8;16;3;5;0;0;0;2;0;0
2021-01-27 01:32:59;44;8;16;3;5;0;0;0;2;0;0
2021-01-27 01:33:59;44;8;16;3;5;0;0;0;2;0;0
2021-01-27 01:35:00;44;8;16;3;5;0;0;0;2;0;0
2021-01-27 01:35:58;44;8;16;3;5;0;0;0;2;0;0
2021-01-27 01:36:59;45;8;17;3;5;0;0;0;2;0;0
2021-01-27 01:37:59;45;8;17;3;5;0;0;0;2;0;0
2021-01-27 01:38:58;45;8;17;3;5;0;0;0;2;0;0
2021-01-27 01:39:59;45;8;17;3;5;0;0;0;2;0;0
2021-01-27 01:40:58;45;8;17;3;5;0;0;0;2;0;0
2021-01-27 01:41:59;45;8;17;3;5;0;0;0;2;0;0
2021-01-27 01:42:59;46;8;18;3;5;0;0;0;2;0;0
2021-01-27 01:43:58;46;8;18;3;5;0;0;0;2;0;0
2021-01-27 01:44:59;47;8;18;3;6;0;0;0;2;0;0
2021-01-27 01:45:59;47;8;18;3;6;0;0;0;2;0;0
2021-01-27 01:46:58;48;9;18;3;6;0;0;0;2;0;0
2021-01-27 01:47:59;49;10;18;3;6;0;0;0;2;0;0
2021-01-27 01:48:59;49;10;18;3;6;0;0;0;2;0;0
2021-01-27 01:49:58;49;10;18;3;6;0;0;0;2;0;0
2021-01-27 01:50:59;50;11;18;3;6;0;0;0;2;0;0
2021-01-27 01:51:59;50;11;18;3;6;0;0;0;2;0;0
2021-01-27 01:52:58;50;11;18;3;6;0;0;0;2;0;0
2021-01-27 01:53:59;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 01:55:00;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 01:55:58;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 01:56:59;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 01:57:58;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 01:58:59;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 01:59:58;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:00:59;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:01:58;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:02:59;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:03:59;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:04:59;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:05:58;51;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:06:59;52;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:07:58;52;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:08:59;52;11;18;3;6;0;0;0;2;0;0
2021-01-27 02:09:59;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:10:58;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:11:59;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:12:59;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:13:58;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:14:59;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:15:58;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:16:59;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:17:59;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:18:58;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:19:59;54;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:20:59;55;11;18;4;6;0;2;1;2;0;0
2021-01-27 02:21:58;56;11;18;4;7;0;2;1;2;0;0
2021-01-27 02:22:59;57;11;18;4;7;0;2;1;2;0;0
2021-01-27 02:23:59;57;11;18;4;7;0;2;1;2;0;0
2021-01-27 02:24:58;58;11;18;4;7;0;2;2;2;0;0
2021-01-27 02:25:59;58;11;18;4;7;0;2;2;2;0;0
2021-01-27 02:26:59;58;11;18;4;7;0;2;2;2;0;0
2021-01-27 02:27:58;58;11;18;4;7;0;2;2;2;0;0
2021-01-27 02:28:59;58;11;18;4;7;0;2;2;2;0;0
2021-01-27 02:29:59;58;11;18;4;7;0;2;2;2;0;0
2021-01-27 02:30:58;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:31:59;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:32:59;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:33:58;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:34:59;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:35:59;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:36:58;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:37:59;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:38:59;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:39:58;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:40:59;59;12;18;4;7;0;2;2;2;0;0
2021-01-27 02:41:58;60;12;18;4;7;0;3;2;2;0;0
2021-01-27 02:42:59;60;12;18;4;7;0;3;2;2;0;0
2021-01-27 02:43:59;61;12;18;5;7;0;3;2;2;0;0
2021-01-27 02:44:58;62;12;19;5;7;0;3;2;2;0;0
2021-01-27 02:45:59;62;12;19;5;7;0;3;2;2;0;0
2021-01-27 02:46:59;62;12;19;5;7;0;3;2;2;0;0
2021-01-27 02:47:58;62;12;19;5;7;0;3;2;2;0;0
2021-01-27 02:48:59;62;12;19;5;7;0;3;2;2;0;0
2021-01-27 02:49:59;62;12;19;5;7;0;3;2;2;0;0
2021-01-27 02:50:58;62;12;19;5;7;0;3;2;2;0;0
2021-01-27 02:51:59;62;12;19;5;7;0;3;2;2;0;0
2021-01-27 02:52:58;62;12;19;6;6;0;3;2;2;0;0
2021-01-27 02:53:59;62;12;19;5;7;0;3;2;2;0;0
2021-01-27 02:54:59;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 02:55:58;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 02:56:59;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 02:57:59;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 02:58:58;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 02:59:59;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 03:00:59;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 03:01:58;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 03:02:59;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 03:04:00;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 03:04:58;63;12;20;5;7;0;3;2;2;0;0
2021-01-27 03:05:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:06:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:07:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:08:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:09:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:10:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:12:00;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:12:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:13:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:14:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:15:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:16:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:17:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:18:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:19:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:20:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:21:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:22:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:23:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:24:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:25:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:26:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:27:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:28:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:29:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:30:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:31:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:32:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:33:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:34:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:35:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:36:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:37:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:38:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:39:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:40:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:41:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:42:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:43:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:44:59;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:45:58;64;12;21;5;7;0;3;2;2;0;0
2021-01-27 03:46:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:47:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:48:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:49:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:50:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:51:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:52:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:53:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:54:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:55:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:56:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:57:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:58:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 03:59:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:00:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:01:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:02:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:03:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:04:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:05:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:06:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:07:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:08:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:09:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:10:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:11:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:12:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:13:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:14:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:15:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:16:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:17:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:18:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:19:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:20:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:21:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:22:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:23:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:24:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:25:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:26:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:27:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:28:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:29:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:30:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:31:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:32:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:33:58;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:34:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:35:59;64;13;21;5;7;0;3;2;2;0;0
2021-01-27 04:36:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:37:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:38:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:39:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:40:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:41:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:42:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:43:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:44:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:45:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:46:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:47:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:48:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:49:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:50:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:51:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:52:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:53:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:54:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:55:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:56:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:57:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:58:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 04:59:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:00:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:01:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:02:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:03:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:04:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:05:59;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:06:58;65;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:07:59;66;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:08:59;66;14;21;5;7;0;3;2;2;0;0
2021-01-27 05:09:58;66;14;21;5;7;0;3;2;2;0;0
