datetime;total_votes;Oleum;Volodya_FM;KOCTOPE3;Grit;bigmouse;Rumpelstilzchen;Dirtylieutenant;mama_p_zh;raaxiom;Mindsplitter
2020-12-23 00:00:59;6;0;1;2;0;0;1;0;0;0;0
2020-12-23 00:01:59;7;0;1;2;0;0;2;0;0;0;0
2020-12-23 00:02:59;9;2;1;2;0;0;2;0;0;0;0
2020-12-23 00:03:58;11;2;1;2;0;1;2;0;0;0;1
2020-12-23 00:04:59;11;2;1;2;0;1;2;0;0;0;1
2020-12-23 00:05:59;11;2;1;2;0;1;2;0;0;0;1
2020-12-23 00:06:58;12;2;1;2;0;1;2;0;0;0;1
2020-12-23 00:07:59;12;2;1;2;0;1;2;0;0;0;1
2020-12-23 00:08:59;12;2;1;2;0;1;2;0;0;0;1
2020-12-23 00:09:59;15;2;1;2;0;1;2;0;0;1;1
2020-12-23 00:10:58;18;2;3;2;0;1;2;0;0;2;1
2020-12-23 00:11:59;19;3;3;2;0;1;2;0;0;2;1
2020-12-23 00:12:59;19;3;3;2;0;1;2;0;0;2;1
2020-12-23 00:13:58;19;3;3;2;0;1;2;0;0;2;1
2020-12-23 00:14:59;21;3;4;2;0;1;2;0;0;2;1
2020-12-23 00:15:58;22;3;4;2;0;1;2;0;0;2;1
2020-12-23 00:16:59;22;3;4;2;0;1;2;0;0;2;1
2020-12-23 00:17:58;22;3;4;2;0;1;2;0;0;2;1
2020-12-23 00:18:59;22;3;4;2;0;1;2;0;0;2;1
2020-12-23 00:19:59;22;3;4;2;0;1;2;0;0;2;1
2020-12-23 00:20:58;22;3;4;2;0;1;2;0;0;2;1
2020-12-23 00:21:59;23;3;4;3;0;1;2;0;0;2;1
2020-12-23 00:22:58;24;3;4;3;0;1;2;0;1;2;2
2020-12-23 00:23:59;24;3;4;3;0;1;2;0;1;2;2
2020-12-23 00:24:59;24;3;4;3;0;1;2;0;1;2;2
2020-12-23 00:25:58;25;3;4;3;0;1;2;0;0;2;2
2020-12-23 00:26:59;25;3;4;3;0;1;2;0;0;2;2
2020-12-23 00:27:59;28;3;7;3;0;1;2;0;0;2;2
2020-12-23 00:28:58;29;3;8;3;0;1;2;0;0;2;2
2020-12-23 00:29:59;30;3;8;3;0;1;2;0;0;2;2
2020-12-23 00:30:59;32;3;9;3;0;1;2;0;0;2;2
2020-12-23 00:31:58;33;3;9;3;0;1;2;2;0;2;2
2020-12-23 00:32:59;33;3;9;3;0;1;2;2;0;2;2
2020-12-23 00:33:59;33;3;9;3;0;1;2;2;0;2;2
2020-12-23 00:34:58;33;3;9;3;0;1;2;2;0;2;2
2020-12-23 00:35:59;34;3;10;3;0;1;2;2;0;2;2
2020-12-23 00:36:59;34;3;10;3;0;1;2;2;0;2;2
2020-12-23 00:37:58;34;3;10;3;0;1;2;2;0;2;2
2020-12-23 00:38:59;37;4;12;3;0;1;2;2;0;2;2
2020-12-23 00:39:59;37;4;12;3;0;1;2;2;0;2;2
2020-12-23 00:40:58;37;4;12;3;0;1;2;2;0;2;2
2020-12-23 00:41:59;37;4;12;3;0;1;2;2;0;2;2
2020-12-23 00:43:00;37;4;12;3;0;1;2;2;0;2;2
2020-12-23 00:43:58;37;4;12;3;0;1;2;2;0;2;2
2020-12-23 00:44:59;37;4;12;3;0;1;2;2;0;2;2
2020-12-23 00:45:59;37;4;12;3;0;1;2;2;0;2;2
2020-12-23 00:46:58;38;4;12;3;0;1;2;3;0;2;2
2020-12-23 00:47:59;39;4;12;3;0;2;2;2;0;2;2
2020-12-23 00:48:59;39;4;12;3;0;2;2;2;0;2;2
2020-12-23 00:49:58;39;4;12;3;0;2;2;2;0;2;2
2020-12-23 00:50:59;39;4;12;3;0;2;2;2;0;2;2
2020-12-23 00:51:59;39;4;12;3;0;2;2;2;0;2;2
2020-12-23 00:52:58;39;4;12;3;0;2;2;2;0;2;2
2020-12-23 00:53:59;39;4;12;3;0;2;2;2;0;2;2
2020-12-23 00:54:59;40;4;13;3;0;2;2;2;0;2;2
2020-12-23 00:55:58;40;4;13;3;0;2;2;2;0;2;2
2020-12-23 00:56:59;42;6;13;3;0;2;2;2;0;2;2
2020-12-23 00:57:59;42;6;13;3;0;2;2;2;0;2;2
2020-12-23 00:58:58;43;7;13;3;0;2;2;2;0;2;2
2020-12-23 00:59:59;43;7;13;3;0;2;2;2;0;2;2
2020-12-23 01:00:59;43;7;13;3;0;2;2;2;0;2;2
2020-12-23 01:01:58;44;7;13;3;0;2;2;2;1;2;2
2020-12-23 01:02:59;45;7;13;3;0;2;2;2;0;2;2
2020-12-23 01:03:58;45;7;13;3;0;2;2;2;0;2;2
2020-12-23 01:04:59;46;7;14;3;0;2;2;2;0;2;2
2020-12-23 01:05:59;47;8;14;3;0;2;2;2;0;2;2
2020-12-23 01:06:58;47;8;14;3;0;2;2;2;0;2;2
2020-12-23 01:07:59;47;8;14;3;0;2;2;2;0;2;2
2020-12-23 01:08:59;47;8;14;3;0;2;2;2;0;2;2
2020-12-23 01:09:58;47;8;14;3;0;2;2;2;0;2;2
2020-12-23 01:10:59;47;8;14;3;0;2;2;2;0;2;2
2020-12-23 01:11:59;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:12:58;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:13:59;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:14:59;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:15:58;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:16:59;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:17:59;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:18:58;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:19:59;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:20:59;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:21:58;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:22:59;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:23:59;49;8;16;3;0;2;2;2;0;2;2
2020-12-23 01:24:58;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:25:59;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:26:59;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:27:58;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:28:59;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:29:59;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:30:58;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:31:59;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:32:59;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:33:58;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:34:59;50;8;16;4;0;2;2;2;0;2;2
2020-12-23 01:35:59;51;8;16;4;1;2;2;2;1;2;2
2020-12-23 01:36:58;51;8;16;4;1;2;2;2;1;2;2
2020-12-23 01:37:59;51;8;16;4;1;2;2;2;1;2;2
2020-12-23 01:38:59;52;8;16;4;1;2;2;2;0;2;2
2020-12-23 01:39:58;53;8;16;4;1;2;2;2;0;2;2
2020-12-23 01:40:59;53;8;16;4;1;2;2;2;0;2;2
2020-12-23 01:41:58;53;8;16;4;1;2;2;2;0;2;2
2020-12-23 01:42:59;53;8;16;4;1;2;2;2;0;2;2
2020-12-23 01:43:59;53;8;16;4;1;2;2;2;0;2;2
2020-12-23 01:44:58;53;8;16;4;1;2;2;2;0;2;2
2020-12-23 01:45:59;54;8;17;4;1;2;2;2;0;2;2
2020-12-23 01:46:59;54;8;17;4;1;2;2;2;0;2;2
2020-12-23 01:47:58;54;8;17;4;1;2;2;2;0;2;2
2020-12-23 01:48:59;55;8;17;5;1;2;2;2;0;2;2
2020-12-23 01:49:59;55;8;17;5;1;2;2;2;0;2;2
2020-12-23 01:50:58;56;9;17;5;1;2;2;2;0;2;2
2020-12-23 01:51:59;57;9;17;5;1;2;2;2;0;2;2
2020-12-23 01:52:59;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 01:53:58;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 01:54:59;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 01:55:59;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 01:56:58;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 01:57:59;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 01:58:59;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 01:59:58;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 02:00:59;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 02:01:59;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 02:02:58;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 02:03:59;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 02:04:58;58;9;18;5;1;2;2;2;0;2;2
2020-12-23 02:05:59;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:06:59;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:07:58;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:08:59;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:09:59;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:10:58;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:11:59;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:12:58;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:13:59;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:14:59;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:15:58;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:16:59;59;10;18;5;1;2;2;2;0;2;2
2020-12-23 02:17:59;60;10;19;5;1;2;2;2;0;2;2
2020-12-23 02:18:58;60;10;19;5;1;2;2;2;0;2;2
2020-12-23 02:19:59;60;10;19;5;1;2;2;2;0;2;2
2020-12-23 02:20:59;60;10;19;5;1;2;2;2;0;2;2
2020-12-23 02:21:58;60;10;19;5;1;2;2;2;0;2;2
2020-12-23 02:22:59;60;10;19;5;1;2;2;2;0;2;2
2020-12-23 02:23:59;61;10;19;5;1;2;2;3;0;2;2
2020-12-23 02:24:58;61;10;19;5;1;2;2;3;0;2;2
2020-12-23 02:25:59;62;11;19;5;1;2;2;3;0;2;2
2020-12-23 02:26:59;62;11;19;5;1;2;2;3;0;2;2
2020-12-23 02:27:58;62;11;19;5;1;2;2;3;0;2;2
2020-12-23 02:28:59;62;11;19;5;1;2;2;3;0;2;2
2020-12-23 02:29:58;62;11;19;5;1;2;2;3;0;2;2
2020-12-23 02:30:59;62;11;19;5;1;2;2;3;0;2;2
2020-12-23 02:31:59;62;11;19;5;1;2;2;3;0;2;2
2020-12-23 02:32:58;62;11;19;5;1;2;2;3;0;2;2
2020-12-23 02:33:59;63;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:34:59;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:35:58;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:36:59;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:37:59;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:38:58;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:39:59;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:40:59;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:41:58;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:42:59;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:43:59;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:44:58;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:45:59;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:46:59;64;12;19;5;1;2;2;3;0;2;2
2020-12-23 02:47:58;65;12;19;5;1;2;2;4;0;2;2
2020-12-23 02:48:59;65;12;19;5;1;2;2;4;0;2;2
2020-12-23 02:49:59;65;12;19;5;1;2;2;4;0;2;2
2020-12-23 02:50:58;65;12;19;5;1;2;2;4;0;2;2
2020-12-23 02:51:59;66;12;19;5;1;2;3;4;0;2;2
2020-12-23 02:52:59;66;12;19;5;1;2;3;4;0;2;2
2020-12-23 02:53:58;66;12;19;5;1;2;3;4;0;2;2
2020-12-23 02:54:59;66;12;19;5;1;2;3;4;0;2;2
2020-12-23 02:55:59;66;12;19;5;1;2;3;4;0;2;2
2020-12-23 02:56:58;66;12;19;5;1;2;3;4;0;2;2
2020-12-23 02:57:59;66;12;19;5;1;2;3;4;0;2;2
2020-12-23 02:58:59;66;12;19;5;1;2;3;4;0;2;2
2020-12-23 02:59:58;67;12;19;5;1;2;4;4;0;2;2
2020-12-23 03:00:59;67;12;19;5;1;2;4;4;0;2;2
2020-12-23 03:01:59;67;12;19;5;1;2;4;4;0;2;2
2020-12-23 03:02:58;67;12;19;5;1;2;4;4;0;2;2
2020-12-23 03:03:59;67;12;19;5;1;2;4;4;0;2;2
2020-12-23 03:05:00;68;13;19;5;1;2;4;4;0;2;2
2020-12-23 03:05:58;68;13;19;5;1;2;4;4;0;2;2
2020-12-23 03:06:59;68;13;19;5;1;2;4;4;0;2;2
2020-12-23 03:07:58;69;14;19;5;1;2;4;4;0;2;2
2020-12-23 03:08:59;69;14;19;5;1;2;4;4;0;2;2
2020-12-23 03:09:59;69;14;19;5;1;2;4;4;0;2;2
2020-12-23 03:10:58;69;14;19;5;1;2;4;4;0;2;2
2020-12-23 03:11:59;69;14;19;5;1;2;4;4;0;2;2
2020-12-23 03:12:59;69;14;19;5;1;2;4;4;0;2;2
2020-12-23 03:13:58;70;15;19;5;1;2;4;4;0;2;2
2020-12-23 03:14:59;70;15;19;5;1;2;4;4;0;2;2
2020-12-23 03:15:59;70;15;19;5;1;2;4;4;0;2;2
2020-12-23 03:16:58;71;16;19;5;1;2;4;4;0;2;2
2020-12-23 03:17:59;71;16;19;5;1;2;4;4;0;2;2
2020-12-23 03:18:58;71;16;19;5;1;2;4;4;0;2;2
2020-12-23 03:19:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:20:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:21:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:22:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:23:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:24:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:25:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:26:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:27:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:28:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:29:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:30:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:31:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:32:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:33:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:34:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:35:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:36:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:37:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:38:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:39:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:40:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:41:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:42:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:43:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:44:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:45:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:46:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:47:58;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:48:59;72;16;19;5;1;2;4;5;0;2;2
2020-12-23 03:49:59;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:50:58;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:51:59;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:53:00;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:53:58;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:54:59;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:55:58;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:56:59;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:57:59;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:58:58;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 03:59:59;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 04:00:58;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 04:01:59;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 04:02:59;73;16;20;5;1;2;4;5;0;2;2
2020-12-23 04:03:58;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:04:59;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:05:59;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:06:58;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:07:59;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:08:59;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:09:58;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:10:59;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:11:59;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:12:58;74;16;20;5;1;2;4;6;0;2;2
2020-12-23 04:13:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:14:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:15:58;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:16:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:17:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:18:58;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:19:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:20:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:21:58;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:22:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:23:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:24:58;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:25:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:26:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:27:58;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:28:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:29:59;75;17;20;5;1;2;4;6;0;2;2
2020-12-23 04:30:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:31:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:32:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:33:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:34:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:35:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:36:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:37:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:38:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:39:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:40:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:41:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:42:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:43:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:45:00;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:45:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:46:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:47:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:48:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:49:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:50:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:51:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:52:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:53:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:54:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:55:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:56:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:57:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:58:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 04:59:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:00:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:01:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:02:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:03:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:04:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:05:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:06:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:07:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:08:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:09:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:10:59;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:11:58;76;18;20;5;1;2;4;6;0;2;2
2020-12-23 05:12:59;78;18;20;5;3;2;4;6;0;2;2
2020-12-23 05:13:58;79;18;20;5;4;2;4;6;0;2;2
2020-12-23 05:14:59;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:15:58;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:16:59;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:17:58;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:18:59;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:19:58;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:20:59;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:21:59;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:22:58;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:23:59;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:24:59;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:25:58;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:26:59;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:27:59;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:28:58;80;18;20;5;5;2;4;6;0;2;2
2020-12-23 05:29:59;81;18;20;5;5;2;4;6;2;2;2
2020-12-23 05:30:59;81;18;20;5;5;2;4;6;2;2;2
2020-12-23 05:31:58;81;18;20;5;5;2;4;6;2;2;2
2020-12-23 05:32:59;81;18;20;5;5;2;4;6;2;2;2
2020-12-23 05:33:58;81;18;20;5;5;2;4;6;2;2;2
2020-12-23 05:34:59;81;18;20;5;5;2;4;6;2;2;2
2020-12-23 05:35:59;81;18;20;5;5;2;4;6;2;2;2
2020-12-23 05:36:58;81;18;20;5;5;2;4;6;2;2;2
2020-12-23 05:37:59;81;18;20;5;5;2;4;6;2;2;2
2020-12-23 05:38:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:39:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:40:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:41:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:42:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:43:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:44:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:45:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:46:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:47:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:48:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:50:00;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:50:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:51:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:52:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:53:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:54:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:55:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:56:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:57:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:58:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 05:59:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:00:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:01:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:02:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:03:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:04:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:05:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:06:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:07:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:08:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:09:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:10:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:11:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:12:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:13:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:14:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:15:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:16:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:17:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:18:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:19:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:20:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:21:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:22:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:23:58;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:24:59;81;19;20;5;5;2;4;6;2;2;2
2020-12-23 06:25:59;82;19;21;5;5;2;4;6;2;2;2
2020-12-23 06:26:58;82;19;21;5;5;2;4;6;2;2;2
2020-12-23 06:27:59;82;19;21;5;5;2;4;6;2;2;2
2020-12-23 06:28:59;82;19;21;5;5;2;4;6;2;2;2
2020-12-23 06:29:58;82;19;21;5;5;2;4;6;2;2;2
2020-12-23 06:30:59;82;19;21;5;5;2;4;6;2;2;2
2020-12-23 06:31:59;82;19;21;5;5;2;4;6;2;2;2
2020-12-23 06:32:58;82;19;21;5;5;2;4;6;2;2;2
2020-12-23 06:33:59;82;19;21;5;5;2;4;6;2;2;2
2020-12-23 06:35:00;83;20;21;5;5;2;4;6;2;2;2
2020-12-23 06:35:58;83;20;21;5;5;2;4;6;2;2;2
2020-12-23 06:36:59;83;20;21;5;5;2;4;6;2;2;2
