datetime;total_votes;Tae4ka;DrumBox;enze;Oleum;nickpo;voklo;petro-ew;asap;nenaabum;minddiffuzion
2019-08-21 00:00:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:01:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:02:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:03:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:04:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:05:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:06:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:07:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:08:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:09:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:10:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:11:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:12:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:13:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:14:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:15:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:16:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:17:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:18:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:19:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:20:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:21:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:22:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:23:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:24:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:25:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:26:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:27:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:28:58;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:29:59;28;10;0;7;0;1;1;3;1;0;0
2019-08-21 00:30:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:31:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:32:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:33:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:34:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:35:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:36:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:37:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:38:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:39:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:40:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:41:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:42:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:43:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:44:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:45:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:46:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:47:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:48:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:49:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:50:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:51:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:52:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:54:00;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:54:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:55:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:56:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:57:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:58:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 00:59:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:00:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:01:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:02:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:03:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:04:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:05:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:06:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:07:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:08:58;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:09:59;29;11;0;7;0;1;1;3;1;0;0
2019-08-21 01:10:59;30;12;0;7;0;1;1;3;1;0;0
2019-08-21 01:11:58;30;12;0;7;0;1;1;3;1;0;0
2019-08-21 01:12:59;30;12;0;7;0;1;1;3;1;0;0
2019-08-21 01:13:58;30;12;0;7;0;1;1;3;1;0;0
2019-08-21 01:14:59;30;12;0;7;0;1;1;3;1;0;0
2019-08-21 01:15:58;30;12;0;7;0;1;1;3;1;0;0
2019-08-21 01:16:59;30;12;0;7;0;1;1;3;1;0;0
2019-08-21 01:17:58;30;12;0;7;0;1;1;3;1;0;0
2019-08-21 01:18:59;30;12;0;7;0;1;1;3;1;0;0
2019-08-21 01:19:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:20:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:21:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:22:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:23:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:24:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:25:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:26:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:27:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:28:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:29:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:30:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:31:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:32:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:33:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:34:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:35:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:36:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:37:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:38:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:39:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:40:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:41:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:42:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:43:58;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:44:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:45:59;32;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:46:58;33;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:47:59;33;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:48:58;33;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:49:59;33;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:50:58;33;14;0;7;0;1;1;3;1;0;0
2019-08-21 01:51:59;34;14;0;7;1;1;1;3;1;0;0
2019-08-21 01:52:59;34;14;0;7;1;1;1;3;1;0;0
2019-08-21 01:53:58;34;14;0;7;1;1;1;3;1;0;0
2019-08-21 01:54:59;34;14;0;7;1;1;1;3;1;0;0
2019-08-21 01:55:58;34;14;0;7;1;1;1;3;1;0;0
2019-08-21 01:56:59;34;14;0;7;1;1;1;3;1;0;0
2019-08-21 01:57:59;34;14;0;7;1;1;1;3;1;0;0
